target_study	species	target_celltype	target_size	target_level1	target_level2	target_level3	ref_celltype	is_recip	Zeng_recip_celltype	AUROC	ref_level1	ref_level2	ref_level3	Zeng_celltype	Zeng_recip	Zeng_AUROC	avg_AUROC	evo_category
Tosches_turtle	turtle	Tosches_turtle|e01	71	Neuron	ExN	ExN	Macosko|Ex_Ebf2_Tnfaip8_2	FALSE	NA	0.982515941080494	Neuron	ExN	ExN	Zeng|4341	TRUE	0.989049170791123	0.985782555935808	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e02	492	Neuron	ExN	ExN	Macosko|Ex_Gabra6_Optc	TRUE	Zeng|5150	0.916763858113462	Neuron	ExN	ExN	Zeng|184	FALSE	0.94411234570718	0.930438101910321	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e03	104	Neuron	ExN	ExN	Macosko|Ex_Rorb_Dnah14	TRUE	Zeng|98	0.916886316635791	Neuron	ExN	ExN	Zeng|193	FALSE	0.954815307530678	0.935850812083235	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e04	73	Neuron	ExN	ExN	Macosko|Ex_Slc30a3_Teddm3_1	FALSE	NA	0.960363715134511	Neuron	ExN	ExN	Zeng|112	FALSE	0.979325324782496	0.969844519958504	diverged
Tosches_turtle	turtle	Tosches_turtle|e05	134	Neuron	ExN	ExN	Macosko|Ex_Fezf2_Pirt_Stum	TRUE	Zeng|96	0.926340855218806	Neuron	ExN	ExN	Zeng|193	FALSE	0.944427530471328	0.935384192845067	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e06	58	Neuron	ExN	ExN	Macosko|Ex_Rorb_Rxfp2	TRUE	Zeng|163	0.943307394510409	Neuron	ExN	ExN	Zeng|123	FALSE	0.950541416559953	0.946924405535181	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e07	48	Neuron	ExN	ExN	Macosko|Ex_Fezf2_Cfap58_1	TRUE	Zeng|356	0.974209280048701	Neuron	ExN	ExN	Zeng|326	TRUE	0.979773191169361	0.976991235609031	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e08	39	Neuron	ExN	ExN	Macosko|Ex_Fezf2_Pvalb_Pirt	TRUE	Zeng|87	0.974946793426338	Neuron	ExN	ExN	Zeng|403	FALSE	0.984836470662735	0.979891632044537	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e09	28	Neuron	ExN	ExN	Macosko|Ex_Abi3bp_Insyn2b	TRUE	Zeng|292	0.941083022252202	Neuron	ExN	ExN	Zeng|291	FALSE	0.958517618562154	0.949800320407178	conserved_one
Tosches_turtle	turtle	Tosches_turtle|e10	66	Neuron	ExN	ExN	Macosko|Ex_Iqcj_Ms4a15_4	FALSE	NA	0.971786524853894	Neuron	ExN	ExN	Zeng|2693	TRUE	0.96684002235376	0.969313273603827	conserved_one
